convoID,ambientVariant,processedVolume,technology,model,bleu_score
31303597,trafficOutside,-25dBFS,whisper,large,81.54142753278467
31303597,trafficOutside,-30dBFS,whisper,large,89.37545027927071
31303597,trafficOutside,-35dBFS,whisper,large,81.96075499937619
31346589,insideAmbulance,-15dBFS,whisper,large,69.14059984420102
31346589,insideAmbulance,-20dBFS,whisper,large,77.59030583836504
31346589,insideAmbulance,-25dBFS,whisper,large,80.25344974334196
31346589,insideAmbulance,-30dBFS,whisper,large,79.34421704491645
31346589,insideAmbulance,-35dBFS,whisper,large,85.57234286691684
31346589,insideCrowded,-15dBFS,whisper,large,58.825303311245754
31346589,insideCrowded,-20dBFS,whisper,large,74.69301266329433
31346589,insideCrowded,-25dBFS,whisper,large,77.67554005446566
31346589,insideCrowded,-30dBFS,whisper,large,85.83033716514927
31346589,insideCrowded,-35dBFS,whisper,large,84.71915576865165
31346589,talking,-15dBFS,whisper,large,70.75113222609309
31346589,talking,-20dBFS,whisper,large,81.25186900784838
31346589,talking,-25dBFS,whisper,large,83.41823555281358
31346589,talking,-30dBFS,whisper,large,77.40479314553305
31346589,talking,-35dBFS,whisper,large,81.67731938550594
31346589,trafficOutside,-15dBFS,whisper,large,79.17226497638994
31346589,trafficOutside,-20dBFS,whisper,large,75.67347642153648
31346589,trafficOutside,-25dBFS,whisper,large,86.33966376940253
31346589,trafficOutside,-30dBFS,whisper,large,83.27963650246171
31346589,trafficOutside,-35dBFS,whisper,large,84.79754984060376
31572540,insideAmbulance,-15dBFS,whisper,large,83.88022115846367
31572540,insideAmbulance,-20dBFS,whisper,large,90.02642991877771
31572540,insideAmbulance,-25dBFS,whisper,large,90.40468051559283
31572540,insideAmbulance,-30dBFS,whisper,large,83.67820296734016
31572540,insideAmbulance,-35dBFS,whisper,large,92.8205312860389
31572540,insideCrowded,-15dBFS,whisper,large,55.30494811780669
31572540,insideCrowded,-20dBFS,whisper,large,87.81426901346913
31572540,insideCrowded,-25dBFS,whisper,large,84.26776786221151
31572540,insideCrowded,-30dBFS,whisper,large,80.77937432608762
31572540,insideCrowded,-35dBFS,whisper,large,88.16598017207103
31572540,talking,-15dBFS,whisper,large,82.92522874755785
31572540,talking,-20dBFS,whisper,large,83.73315389089673
31572540,talking,-25dBFS,whisper,large,82.09203531473389
31572540,talking,-30dBFS,whisper,large,91.21657729156823
31572540,talking,-35dBFS,whisper,large,78.88960783164337
31572540,trafficOutside,-15dBFS,whisper,large,88.57427582991373
31572540,trafficOutside,-20dBFS,whisper,large,84.93526835860153
31572540,trafficOutside,-25dBFS,whisper,large,83.32184002428745
31572540,trafficOutside,-30dBFS,whisper,large,89.44306418335911
31572540,trafficOutside,-35dBFS,whisper,large,86.77521465896211
31682405,insideAmbulance,-15dBFS,whisper,large,69.45385399837353
31682405,insideAmbulance,-20dBFS,whisper,large,78.25118072022411
31682405,insideAmbulance,-25dBFS,whisper,large,79.04803995894517
31682405,insideAmbulance,-30dBFS,whisper,large,80.01198665651302
31682405,insideAmbulance,-35dBFS,whisper,large,83.61224079022284
31682405,insideCrowded,-15dBFS,whisper,large,45.92881245783031
31682405,insideCrowded,-20dBFS,whisper,large,69.27230934797137
31682405,insideCrowded,-25dBFS,whisper,large,74.86841447898043
31682405,insideCrowded,-30dBFS,whisper,large,78.88665888313015
31682405,insideCrowded,-35dBFS,whisper,large,71.09435209820477
31682405,talking,-15dBFS,whisper,large,74.64804960008621
31682405,talking,-20dBFS,whisper,large,78.35259008258546
31682405,talking,-25dBFS,whisper,large,70.78332042192758
31682405,talking,-30dBFS,whisper,large,77.41164048021426
31682405,talking,-35dBFS,whisper,large,65.56998336076238
31682405,trafficOutside,-15dBFS,whisper,large,75.63996639349175
31682405,trafficOutside,-20dBFS,whisper,large,77.13106216889368
31682405,trafficOutside,-25dBFS,whisper,large,81.66135462201517
31682405,trafficOutside,-30dBFS,whisper,large,73.5148167513746
31682405,trafficOutside,-35dBFS,whisper,large,80.98943815232074
31943607,insideAmbulance,-15dBFS,whisper,large,71.50577868262593
31943607,insideAmbulance,-20dBFS,whisper,large,82.7429391123372
31943607,insideAmbulance,-25dBFS,whisper,large,91.02306531879844
