convoID,ambientVariant,processedVolume,technology,model,wer
30422892,insideCrowded,-15dBFS,whisper,large,0.5215540180947312
30422892,insideCrowded,-20dBFS,whisper,large,0.10697179350718468
30422892,insideCrowded,-25dBFS,whisper,large,0.08887706226716338
30422892,insideCrowded,-30dBFS,whisper,large,0.04257583821181479
30422892,insideCrowded,-35dBFS,whisper,large,0.09632783395423097
30422892,talking,-15dBFS,whisper,large,0.1591271953166578
30422892,talking,-20dBFS,whisper,large,0.16125598722724854
30422892,talking,-25dBFS,whisper,large,0.0633315593400745
30422892,talking,-30dBFS,whisper,large,0.04044704630122405
30422892,talking,-35dBFS,whisper,large,0.07291112293773283
30422892,trafficOutside,-15dBFS,whisper,large,0.10856838744012773
30422892,trafficOutside,-20dBFS,whisper,large,0.10803618946248005
30422892,trafficOutside,-25dBFS,whisper,large,0.043640234167110166
30422892,trafficOutside,-30dBFS,whisper,large,0.11176157530601384
30422892,trafficOutside,-35dBFS,whisper,large,0.03778605641298563
30476333,insideAmbulance,-15dBFS,whisper,large,0.24943820224719102
30476333,insideAmbulance,-20dBFS,whisper,large,0.21235955056179776
30476333,insideAmbulance,-25dBFS,whisper,large,0.22359550561797753
30476333,insideAmbulance,-30dBFS,whisper,large,0.12078651685393259
30476333,insideAmbulance,-35dBFS,whisper,large,0.149438202247191
30476333,insideCrowded,-15dBFS,whisper,large,0.45056179775280897
30476333,insideCrowded,-20dBFS,whisper,large,0.1853932584269663
30476333,insideCrowded,-25dBFS,whisper,large,0.21292134831460674
30476333,insideCrowded,-30dBFS,whisper,large,0.11292134831460675
30476333,insideCrowded,-35dBFS,whisper,large,0.09775280898876404
30476333,talking,-15dBFS,whisper,large,0.3129213483146067
30476333,talking,-20dBFS,whisper,large,0.1455056179775281
30476333,talking,-25dBFS,whisper,large,0.18651685393258427
30476333,talking,-30dBFS,whisper,large,0.16797752808988764
30476333,talking,-35dBFS,whisper,large,0.20168539325842696
30476333,trafficOutside,-15dBFS,whisper,large,0.16797752808988764
30476333,trafficOutside,-20dBFS,whisper,large,0.20112359550561798
30476333,trafficOutside,-25dBFS,whisper,large,0.13258426966292136
30476333,trafficOutside,-30dBFS,whisper,large,0.15786516853932583
30476333,trafficOutside,-35dBFS,whisper,large,0.10730337078651686
30500236,insideAmbulance,-15dBFS,whisper,large,0.20542168674698796
30500236,insideAmbulance,-20dBFS,whisper,large,0.10602409638554217
30500236,insideAmbulance,-25dBFS,whisper,large,0.11927710843373494
30500236,insideAmbulance,-30dBFS,whisper,large,0.05240963855421687
30500236,insideAmbulance,-35dBFS,whisper,large,0.0608433734939759
30500236,insideCrowded,-15dBFS,whisper,large,0.4319277108433735
30500236,insideCrowded,-20dBFS,whisper,large,0.09759036144578313
30500236,insideCrowded,-25dBFS,whisper,large,0.06566265060240964
30500236,insideCrowded,-30dBFS,whisper,large,0.05421686746987952
30500236,insideCrowded,-35dBFS,whisper,large,0.09698795180722891
30500236,talking,-15dBFS,whisper,large,0.22048192771084338
30500236,talking,-20dBFS,whisper,large,0.07409638554216867
30500236,talking,-25dBFS,whisper,large,0.06265060240963856
30500236,talking,-30dBFS,whisper,large,0.1144578313253012
30500236,talking,-35dBFS,whisper,large,0.20662650602409638
30500236,trafficOutside,-15dBFS,whisper,large,0.2289156626506024
30500236,trafficOutside,-20dBFS,whisper,large,0.07108433734939759
30500236,trafficOutside,-25dBFS,whisper,large,0.086144578313253
30500236,trafficOutside,-30dBFS,whisper,large,0.05421686746987952
30500236,trafficOutside,-35dBFS,whisper,large,0.0572289156626506
30751318,insideAmbulance,-15dBFS,whisper,large,0.2057109557109557
30751318,insideAmbulance,-20dBFS,whisper,large,0.07342657342657342
30751318,insideAmbulance,-25dBFS,whisper,large,0.06526806526806526
30751318,insideAmbulance,-30dBFS,whisper,large,0.1317016317016317
30751318,insideAmbulance,-35dBFS,whisper,large,0.13286713286713286
30751318,insideCrowded,-15dBFS,whisper,large,0.42424242424242425
30751318,insideCrowded,-20dBFS,whisper,large,0.15384615384615385
30751318,insideCrowded,-25dBFS,whisper,large,0.3747086247086247
30751318,insideCrowded,-30dBFS,whisper,large,0.037296037296037296
30751318,insideCrowded,-35dBFS,whisper,large,0.12004662004662005
30751318,talking,-15dBFS,whisper,large,0.24358974358974358
30751318,talking,-20dBFS,whisper,large,0.0780885780885781
30751318,talking,-25dBFS,whisper,large,0.3117715617715618
30751318,talking,-30dBFS,whisper,large,0.07459207459207459
30751318,talking,-35dBFS,whisper,large,0.12296037296037296
30751318,trafficOutside,-15dBFS,whisper,large,0.13927738927738928
30751318,trafficOutside,-20dBFS,whisper,large,0.08682983682983683
30751318,trafficOutside,-25dBFS,whisper,large,0.15268065268065267
30751318,trafficOutside,-30dBFS,whisper,large,0.07109557109557109
30751318,trafficOutside,-35dBFS,whisper,large,0.08100233100233101
30942855,insideAmbulance,-15dBFS,whisper,large,0.11196417146513116
30942855,insideAmbulance,-20dBFS,whisper,large,0.11068458093410109
30942855,insideAmbulance,-25dBFS,whisper,large,0.09532949456174024
30942855,insideAmbulance,-30dBFS,whisper,large,0.05950095969289827
30942855,insideAmbulance,-35dBFS,whisper,large,0.12092130518234165
30942855,insideCrowded,-15dBFS,whisper,large,0.3307741522712732
30942855,insideCrowded,-20dBFS,whisper,large,0.15674984005118361
30942855,insideCrowded,-25dBFS,whisper,large,0.05758157389635317
30942855,insideCrowded,-30dBFS,whisper,large,0.1695457453614843
30942855,insideCrowded,-35dBFS,whisper,large,0.10556621880998081
30942855,talking,-15dBFS,whisper,large,0.17530390275111965
30942855,talking,-20dBFS,whisper,large,0.11196417146513116
30942855,talking,-25dBFS,whisper,large,0.1433141394753679
